Month,Year,Pool,Treatment,Quadrat ID,Biomass (g)
10,2022,2,,22,28.31
10,2022,U,,U2,66.11
10,2022,E,,E6,10.91
10,2022,2,,21,11.65
10,2022,3,,34,45.74
10,2022,E,,E1,46.47
10,2022,2,,25,10.35
10,2022,3,,32,38.95
10,2022,2,,26,15.98
10,2022,3,,35,18.98
10,2022,8,,84,50.94
10,2022,U,,U6,41.98
10,2022,8,,81,53.15
10,2022,3,,36,14.25
10,2022,8,,82,44
10,2022,2,,24,41.39
10,2022,8,,83,10.67
10,2022,3,,31,61.75
10,2022,8,,86,48.13
10,2022,8,,85,50.23
10,2022,K,,K1,19.6
10,2022,J,,J6,27.78
10,2022,G,,G2,25.32
10,2022,M,,M5,19.48
10,2022,G,,G5,38.6
10,2022,E,,E4,28.88
10,2022,E,,E3,21.6
10,2022,U,,U3,32.1
10,2022,G,,G3,46.04
10,2022,U,,U5,15.21
10,2022,U,,U1,35.46
10,2022,2,,23,36.92
10,2022,3,,33,9.63
10,2022,G,,G4,56.01
10,2022,J,,J2,43.39
10,2022,J,,J1,19.94
10,2022,G,,G1,30.6
10,2022,J,,J4,35.22
10,2022,G,,G6,9.25
10,2022,J,,J5,11.68
10,2022,E,,E5,13.89
10,2022,E,,E2,27.14
10,2022,U,,U4,58.25
10,2022,M,,M2,52.32
10,2022,M,,M1,39.71
10,2022,J,,J3,37.51
10,2022,K,,K5,14.84
10,2022,K,,K2,37.83
10,2022,M,,M4,33.25
10,2022,M,,M6,13.37
10,2022,K,,K6,18.78
10,2022,H,,H3,10.07
10,2022,H,,H5,16.26
10,2022,M,,M3,42.87
10,2022,H,,H6,11.9
10,2022,K,,K4,24.11
10,2022,H,,H4,4.51
10,2022,H,,H2,44.45
10,2022,H,,H1,16.63
10,2022,K,,K3,10.9
9,2022,5,,5T4,136.11
9,2022,5,,5 E3,242.16
9,2022,5,,5 E4,200.76
9,2022,5,,5T2,120.31
9,2022,2,,25,18.68
9,2022,2,,24,27.97
9,2022,2,,23,23.51
9,2022,2,,26,33.18
9,2022,3,,36,30.05
9,2022,5,,5 E6,269.02
9,2022,2,,22,29.76
9,2022,2,,21,24.98
9,2022,5,,5T1,106.36
9,2022,8,,81,54.99
9,2022,8,,86,34.99
9,2022,8,,85,7.01
9,2022,5,,5T6,212.98
9,2022,8,,82,62.37
9,2022,3,,32,31.02
9,2022,3,,31,23.69
9,2022,5,,5 E5,266.66
9,2022,3,,33,25.62
9,2022,3,,34,42.88
9,2022,5,,5T5,194.38
9,2022,3,,35,18.27
9,2022,5,,5 E2,156.84
9,2022,5,,5T3,119.56
9,2022,5,,5 E1,187.11
9,2022,W,,WE2,214.46
