ObjectID,GlobalID,Monitoring Date,Monitor Names,Location,Pool ID,Zone,Quadrat ID,Quadrat-Year,Thatch Depth,CreationDate,Creator,EditDate,Editor,x,y,Year,QuadratYear
1,7da7325c-621e-474b-880d-347f83d8f80b,8/6/19 7:00,Joanna Tang,del_sol,G,edge,GE3,GE32019,2.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8661959,34.41652822,2019,GE32019
2,9ba70adb-194d-44ce-8aa0-c951da53ba15,8/6/19 7:00,Joanna Tang,del_sol,G,transition,GT3,GT32019,0.75,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8661626,34.41653507,2019,GT32019
3,c70b98e7-7fba-441a-b902-f5428a928a34,8/6/19 7:00,Joanna Tang,del_sol,G,edge,GE2,GE22019,2,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8661934,34.41648298,2019,GE22019
4,8a2e8a20-bf62-4132-b3c0-04f4ed5f3433,8/6/19 7:00,Joanna Tang,del_sol,G,transition,GT2,GT22019,0.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8661917,34.41654226,2019,GT22019
5,b4f6a480-2aa2-4dba-af12-14b730bdc056,8/6/19 7:00,Joanna Tang,del_sol,G,edge,GE1,GE12019,3,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8663119,34.41667182,2019,GE12019
6,9ef7ba76-ea85-4717-9e28-f4bcc6a94a0c,8/6/19 7:00,Joanna Tang,del_sol,G,transition,GT1,GT12019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8662804,34.41663297,2019,GT12019
7,30cc7d10-a770-4c77-9b4b-de53ff6ddb16,8/6/19 7:00,Joanna Tang,del_sol,G,transition,GT4,GT42019,1.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8663535,34.41666547,2019,GT42019
8,1cab4053-2836-4dfe-812e-0389f3f6120b,8/6/19 7:00,Joanna Tang,del_sol,G,edge,GE4,GE42019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8662168,34.4167072,2019,GE42019
9,69c2933c-797a-4317-8cc0-fce4c79b16fb,8/6/19 7:00,Joanna Tang,del_sol,G,transition,GT5,GT52019,0.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8661865,34.4166805,2019,GT52019
10,055ebee5-d7de-4ae1-af35-c1af58c7964d,8/6/19 7:00,Joanna Tang,del_sol,G,edge,GE5,GE52019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8661872,34.41674168,2019,GE52019
11,0b808833-2445-4b34-940b-a49ccb9da144,8/6/19 7:00,Joanna Tang,del_sol,G,transition,GT6,GT62019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8661523,34.41668226,2019,GT62019
12,9d73fdbf-7d63-40ff-b1ba-d102d8371d7d,8/6/19 7:00,Joanna Tang,del_sol,H,transition,HT1,HT12019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648569,34.41684619,2019,HT12019
13,6288b134-cf3c-49e0-b3c5-607e12af7c19,8/6/19 7:00,Joanna Tang,del_sol,G,edge,GE6,GE62019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8660869,34.41667066,2019,GE62019
14,7f59a5b5-6c56-4038-8f36-fe90757ee071,8/6/19 7:00,Joanna Tang,del_sol,H,edge,HE1,HE12019,1.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648372,34.41686961,2019,HE12019
15,94c89ec0-08eb-436e-9ec5-0233b60ecd75,8/6/19 7:00,Joanna Tang,del_sol,H,transition,HT3,HT32019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648419,34.41699216,2019,HT32019
16,0a957020-0535-4fe3-bcc4-c6d55656d8a4,8/6/19 7:00,Joanna Tang,del_sol,H,edge,HE6,HE62019,1.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648119,34.4169871,2019,HE62019
17,7d45cbb0-6c36-4d2e-89f0-f857e1428525,8/6/19 7:00,Joanna Tang,del_sol,H,transition,HT6,HT62019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,7/31/23 0:59,joannatang@umail.ucsb.edu_ucsb,-119.8647744,34.41702301,2019,HT62019
18,66591cac-aa70-43b3-ae2e-2918e99dbf37,8/6/19 7:00,Joanna Tang,del_sol,H,edge,HE5,HE52019,1.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8647391,34.41705951,2019,HE52019
19,ac28f874-773f-4f7e-b14f-8c5088228873,8/6/19 7:00,Joanna Tang,del_sol,H,transition,HT5,HT52019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8647879,34.41694875,2019,HT52019
20,42c46d1f-ac2a-4882-9808-b040ebce212f,8/6/19 7:00,Joanna Tang,del_sol,H,edge,HE4,HE42019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648033,34.41695712,2019,HE42019
21,19662475-dd5a-4ddc-bba6-f3d30b43a542,8/6/19 7:00,Joanna Tang,del_sol,H,transition,HT4,HT42019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648104,34.41687991,2019,HT42019
23,d5b727ba-d800-46d7-9980-c5268f0a252e,8/6/19 7:00,Joanna Tang,del_sol,H,edge,HE2,HE22019,2.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648396,34.41673233,2019,HE22019
24,a4ad7e91-85a5-4b75-bb77-afa35d12a2bb,8/6/19 7:00,Joanna Tang,del_sol,H,transition,HT2,HT22019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648571,34.41682985,2019,HT22019
25,01dadde0-bdf9-443b-8fc6-95636bb9d73d,8/6/19 7:00,Joanna Tang,del_sol,H,edge,HE3,HE32019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8649326,34.41668672,2019,HE32019
26,58055408-7133-4140-a2c6-b6d676aeef3a,8/6/19 7:00,Joanna Tang,del_sol,I,transition,IT1,IT12019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8651207,34.41685509,2019,IT12019
27,3c39ffb6-8d0a-473d-adb8-e5653e3cb1a4,8/6/19 7:00,Joanna Tang,del_sol,I,edge,IE1,IE12019,1.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8650932,34.41688604,2019,IE12019
28,fcbf3fcf-f628-4cb1-9f4f-3f405225f4b8,8/6/19 7:00,Joanna Tang,del_sol,I,transition,IT2,IT22019,2,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.865125,34.4169257,2019,IT22019
29,8ef8a648-698f-40d5-b148-e8bb16654ab3,8/6/19 7:00,Joanna Tang,del_sol,I,edge,IE2,IE22019,2.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8651373,34.41694861,2019,IE22019
30,63c155a9-e4df-4a20-aaf2-e9e4bee64a4c,8/6/19 7:00,Joanna Tang,del_sol,I,edge,IE3,IE32019,2.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.865058,34.417012,2019,IE32019
31,0a58ffef-c48b-4adc-8ca2-31b2215ad767,8/6/19 7:00,Joanna Tang,del_sol,I,transition,IT3,IT32019,1.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8651279,34.41697592,2019,IT32019
32,925e869f-8136-4333-a812-bee021553fcc,8/6/19 7:00,Joanna Tang,del_sol,I,edge,IE6,IE62019,5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8650906,34.41697319,2019,IE62019
33,d4f54add-7e18-49e3-a672-53323fcbb081,8/6/19 7:00,Joanna Tang,del_sol,I,transition,IT6,IT62019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.864996,34.41695439,2019,IT62019
34,bec63578-fd4c-4f9c-aac9-a01dc363c9ef,8/6/19 7:00,Joanna Tang,del_sol,I,edge,IE5,IE52019,0.75,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8649728,34.41699392,2019,IE52019
35,0676b600-4285-4c8e-82f9-322ac406cd86,8/6/19 7:00,Joanna Tang,del_sol,I,transition,IT5,IT52019,2,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8650761,34.41692285,2019,IT52019
36,e5eea6b8-9620-417c-bfef-7beadb6e4a3b,8/6/19 7:00,Joanna Tang,del_sol,I,transition,IT4,IT42019,0.75,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8651227,34.41678842,2019,IT42019
37,2da69a3a-be79-40b1-9c4d-6607f93ba61e,8/6/19 7:00,Joanna Tang,del_sol,I,edge,IE4,IE42019,1.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8652982,34.41673099,2019,IE42019
38,99bb11a4-54ef-4c73-8df5-2e3eff91ec24,8/6/19 7:00,Joanna Tang,del_sol,K,edge,KE4,KE42019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8650993,34.41661856,2019,KE42019
39,74a24528-0cf8-4585-b7f2-3f60fadc0847,8/6/19 7:00,Joanna Tang,del_sol,K,transition,KT4,KT42019,0.75,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8649086,34.41656862,2019,KT42019
40,f19cd78c-f909-4f0c-b071-653bbc3867b4,8/6/19 7:00,Joanna Tang,del_sol,K,edge,KE5,KE52019,3,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8647108,34.41658855,2019,KE52019
41,55e60418-1e84-42a6-809a-99dc05274e10,8/6/19 7:00,Joanna Tang,del_sol,K,transition,KT5,KT52019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648614,34.41671701,2019,KT52019
42,d8fc5d70-bc10-4857-9577-b3336cdb27f5,8/6/19 7:00,Joanna Tang,del_sol,K,transition,KT6,KT62019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8650863,34.41678197,2019,KT62019
43,d62afec3-fffe-41f9-a7cb-851a5c6d1aee,8/6/19 7:00,Joanna Tang,del_sol,K,edge,KE6,KE62019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8650436,34.41680976,2019,KE62019
44,1e398ac1-740c-44d4-81d2-6fee9f347431,8/6/19 7:00,Joanna Tang,del_sol,K,edge,KE3,KE32019,1.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8650343,34.41689257,2019,KE32019
45,ccbaa472-aa76-49ed-8f56-a301829ff5d6,8/6/19 7:00,Joanna Tang,del_sol,K,edge,KT3,KT32019,0.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8650109,34.41695257,2019,KT32019
46,c0f73c4f-27cd-4c97-a675-52968c5cd0f6,8/6/19 7:00,Joanna Tang,del_sol,K,edge,KE2,KE22019,0.75,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8651857,34.41689356,2019,KE22019
47,9ff8febd-c6a5-45aa-b09f-c7ab52ae1ffa,8/6/19 7:00,Joanna Tang,del_sol,K,transition,KT2,KT22019,0.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8650729,34.41687943,2019,KT22019
48,27243030-332d-4c6f-82fd-465743c53b25,8/6/19 7:00,Joanna Tang,del_sol,K,transition,KT1,KT12019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8651314,34.416829,2019,KT12019
49,e8511fea-cc03-4036-baca-b81224bedf69,8/6/19 7:00,Joanna Tang,del_sol,K,edge,KE1,KE12019,1.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8651653,34.41679378,2019,KE12019
50,38300b5c-e8b4-4a37-a13a-9e986af80fad,8/6/19 7:00,Joanna Tang,del_sol,L,transition,LT1,LT12019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8652777,34.41682872,2019,LT12019
51,2d707763-78b0-4874-840e-deb3e53f45e2,8/6/19 7:00,Joanna Tang,del_sol,L,edge,LE1,LE12019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8654562,34.41680002,2019,LE12019
52,22652819-cd93-48aa-a6b4-fa0149e99c77,8/6/19 7:00,Joanna Tang,del_sol,L,transition,LT2,LT22019,0.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8652909,34.41671919,2019,LT22019
53,5b0cc4ff-a32a-4178-9406-5c164f76dfa7,8/6/19 7:00,Joanna Tang,del_sol,L,edge,LE2,LE22019,2.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8653117,34.41660609,2019,LE22019
54,56c703c9-741b-434e-bf14-86c8ec08627b,8/6/19 7:00,Joanna Tang,del_sol,L,edge,LE3,LE32019,1.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8652088,34.41661381,2019,LE32019
55,137bf06f-283d-4eba-b46e-781de057036e,8/6/19 7:00,Joanna Tang,del_sol,L,transition,LT3,LT32019,0.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8651323,34.41655679,2019,LT32019
56,160f735b-40dd-4a28-a416-4ea24d496d47,8/6/19 7:00,Joanna Tang,del_sol,L,transition,LT6,LT62019,0.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648657,34.41661879,2019,LT62019
57,fea3b845-eaab-4fc7-bf90-78a1256bc84e,8/6/19 7:00,Joanna Tang,del_sol,L,edge,LE6,LE62019,0.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8647895,34.41677953,2019,LE62019
58,8a6f395b-60dc-46d8-ab25-1d879ac81fa0,8/6/19 7:00,Joanna Tang,del_sol,L,edge,LE5,LE52019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648885,34.41672529,2019,LE52019
59,354642fc-c371-464a-87de-fb77c92b6ffc,8/6/19 7:00,Joanna Tang,del_sol,L,transition,LT5,LT52019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8647583,34.4167247,2019,LT52019
60,249f0e56-a037-4a84-b80f-0f763fcd0e00,8/6/19 7:00,Joanna Tang,del_sol,L,transition,LT4,LT42019,0.75,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648034,34.41672035,2019,LT42019
61,a169235c-44fd-4e29-87a4-0219940db009,8/6/19 7:00,Joanna Tang,del_sol,L,edge,LE4,LE42019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8649136,34.4168057,2019,LE42019
62,c796647c-aa69-4f12-96c3-2947cb830dc9,8/6/19 7:00,Joanna Tang,del_sol,J,transition,JT3,JT32019,1.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8652578,34.41674571,2019,JT32019
63,14e3ae3a-2078-4eef-b12c-ef39632ddfac,8/6/19 7:00,Joanna Tang,del_sol,J,transition,JT6,JT62019,0.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8650174,34.41680766,2019,JT62019
64,3cd41445-3529-45de-a682-f51ec39e1aa4,8/6/19 7:00,Joanna Tang,del_sol,J,edge,JE6,JE62019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8646952,34.41672193,2019,JE62019
65,99cfcec5-7c57-4cba-a897-1904cb27b481,8/6/19 7:00,Joanna Tang,del_sol,J,transition,JT5,JT52019,0.75,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648977,34.4168638,2019,JT52019
66,50175fc7-7a78-4042-abf8-d857d2b5bd5e,8/6/19 7:00,Joanna Tang,del_sol,J,edge,JE5,JE52019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8649874,34.41695142,2019,JE52019
67,63b4d6ea-0293-4ea6-a547-e670539703ab,8/6/19 7:00,Joanna Tang,del_sol,J,transition,JT4,JT42019,0.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8649927,34.41692231,2019,JT42019
68,ff4652b1-6655-4223-a270-14514522b630,8/6/19 7:00,Joanna Tang,del_sol,J,edge,JE4,JE42019,0.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8652505,34.41710423,2019,JE42019
69,8862e14e-1443-4cb8-889c-9104a9bab7e9,8/6/19 7:00,Joanna Tang,del_sol,J,edge,JE1,JE12019,1.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8651034,34.41690816,2019,JE12019
70,94be6e7d-6cd4-41a0-8a77-0b0a487727f9,8/6/19 7:00,Joanna Tang,del_sol,J,transition,JT1,JT12019,0.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8652325,34.41692727,2019,JT12019
71,54ca741b-a9fb-4063-bf47-d46584d58bbe,8/6/19 7:00,Joanna Tang,del_sol,J,transition,JT2,JT22019,0.75,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8649623,34.41686215,2019,JT22019
72,3a7ad301-2802-46ef-b68f-0ed79c632499,8/6/19 7:00,Joanna Tang,del_sol,J,edge,JE3,JE32019,0.75,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8648851,34.41678164,2019,JE32019
73,1dfab2a9-f3a0-4c7e-bac2-f53daa09ab81,8/6/19 7:00,Joanna Tang,del_sol,J,edge,JE2,JE22019,0.75,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8651928,34.41668232,2019,JE22019
74,62b32cd1-c89c-4df6-ba28-be5d21d4a458,8/6/19 7:00,Joanna Tang,del_sol,M,transition,MT4,MT42019,1.75,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8652332,34.41658786,2019,MT42019
75,6488375e-b9a6-45b7-925f-b5c0cbe41d30,8/6/19 7:00,Joanna Tang,del_sol,M,transition,MT5,MT52019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8651673,34.41683129,2019,MT52019
76,b6d720f9-3d77-4ae6-a10c-a7736ce1496d,8/6/19 7:00,Joanna Tang,del_sol,M,edge,ME5,ME52019,2,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.865139,34.41690619,2019,ME52019
77,f4851240-ea6a-4070-a495-e07d3e2f1d4e,8/6/19 7:00,Joanna Tang,del_sol,M,transition,MT6,MT62019,1.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8651845,34.41684298,2019,MT62019
78,c7515eb8-0b92-4e4c-9f13-9be703b5f367,8/6/19 7:00,Joanna Tang,del_sol,M,edge,ME6,ME62019,1.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8650425,34.41701756,2019,ME62019
79,b2067fa5-55ba-4c64-ae4c-63dd36600479,8/6/19 7:00,Joanna Tang,del_sol,M,edge,ME3,ME32019,1.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8652154,34.41692405,2019,ME32019
80,b2e1d58e-8e88-4316-b914-b68237aeebd2,8/6/19 7:00,Joanna Tang,del_sol,M,edge,ME2,ME22019,1.25,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.865138,34.41687352,2019,ME22019
81,5cee8234-ba5a-497a-8018-3ef15add75eb,8/6/19 7:00,Joanna Tang,del_sol,M,transition,MT3,MT32019,1.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8653332,34.41690171,2019,MT32019
82,ca5eb09a-9f6c-4fb1-a37e-fafc215c47ef,8/6/19 7:00,Joanna Tang,del_sol,M,transition,MT2,MT22019,1,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8652511,34.4167928,2019,MT22019
83,6b2d6f00-70a1-45ee-baf2-c6e214f6a481,8/6/19 7:00,Joanna Tang,del_sol,M,edge,ME4,ME42019,3.5,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8651079,34.41688886,2019,ME42019
84,6e622fde-106e-4b83-8108-492fdf90b34c,8/6/19 7:00,Joanna Tang,del_sol,M,transition,MT1,MT12019,1.75,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.865308,34.4167719,2019,MT12019
85,ec2a893d-c0c5-491b-b882-231578d85758,8/6/19 7:00,Joanna Tang,del_sol,M,edge,ME1,ME12019,0.75,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,8/7/19 1:59,joannatang@umail.ucsb.edu_ucsb,-119.8653934,34.41684262,2019,ME12019
