"","2-E1","2-E2","2-E3","2T1","2T6","3-E3","3-E4","3-E5","3T5","4-E3","4-E4","4-E5","4-E6","4T3","4T5","5-E4","5-E5","5-E6","5T4","8-E1","8-E5","8T1","8T5","EE2","EE3","ET3","ET4","ET6","GE1","GE4","GE6","GT1","GT2","HE3","HE4","HE6","HT3","HT4","HT5","IE2","IE6","IT1","IT2","IT3","IT5","IT6","JE6","JE6-1","JT4","KE2","KE3","KE5","KE6","KT2","KT5","LE4","LE5","LT2","LT5","ME4","MT1","MT4","MT5","UE3","UE3-1","UE6","UT2","UT4","UT6","WE2","WT6"
"Seq 1",138,39,781,0,5208,26,0,117,69,0,0,444,13984,58,0,0,0,126,17758,0,9216,103,0,3361,1434,69,0,398,67,22907,17947,60,0,25,544,29858,0,167,0,955,0,81,22878,4782,3922,56084,0,128,153250,17365,66945,0,0,633,0,356,542,48,297,17,65,46,1923,148,4049,0,0,40073,2256,63,18
"Seq 2",221,5870,2879,0,1021,5,240,5401,0,77,7,160,953,0,0,337,0,97,4699,0,148452,0,0,1856,218,0,32,19197,4620,26,52,8,73,0,1433,77,53,0,0,74076,27,10459,1523,9995,43,0,152,363,62,205,0,0,16,607,0,1587,109,62,3285,2386,54,30241,908,12660,4915,0,0,218,206,0,83
"Seq 3",102,36,545,10,3151,0,0,0,0,98,0,276,8472,0,0,0,0,0,11078,0,6457,0,0,2198,1057,0,17,256,0,13248,11793,0,0,0,421,17055,0,0,6,627,0,0,13399,3024,2538,57716,78,77,99110,10675,43192,0,0,376,0,320,313,0,188,0,0,18,1926,70,3876,0,0,27118,1624,0,0
"Seq 4",103,0,502,0,3529,0,4,76,62,0,38,339,8959,0,0,21,0,0,11504,0,5922,0,0,2217,947,0,0,240,0,13928,11699,0,51,0,316,18940,0,0,0,588,0,61,14174,3009,2458,34617,0,66,95751,10937,42966,0,11,349,0,281,372,0,175,0,0,28,1266,99,2538,0,0,24818,1437,0,0
"Seq 5",148,7949,1723,0,643,0,0,3992,0,0,0,99,645,54,0,212,19,51,3153,0,97933,0,0,1235,153,0,0,12933,4030,0,0,0,41,94,1208,34,44,0,0,49201,0,7122,910,6390,0,0,71,242,0,110,0,0,0,337,0,1243,73,38,2653,1488,0,19318,711,7902,4161,0,0,130,135,0,37
"Seq 6",135,5769,1775,0,675,0,0,3432,0,58,0,130,685,0,0,225,0,56,3023,0,93901,27,0,1198,133,17,0,11892,2916,0,46,0,49,0,944,72,25,0,0,47294,0,6494,949,6075,0,0,88,211,0,128,0,0,0,393,0,1015,64,27,2130,1584,0,22437,587,8187,3263,0,0,150,129,0,57
"Seq 7",73,0,297,0,2072,0,0,0,0,0,0,193,5404,0,0,0,0,0,6928,0,4034,0,0,1449,658,0,0,147,0,8797,7397,0,0,0,280,11628,25,0,0,371,51,0,8848,2091,1643,36052,0,40,62439,7106,27736,0,0,260,0,157,188,0,134,0,0,17,1205,59,2403,23,0,16493,937,0,0
"Seq 8",116,6965,1235,0,445,0,0,2459,0,0,0,68,395,0,0,161,0,44,1899,0,62109,0,0,809,96,0,0,7905,2445,0,0,0,27,0,789,50,32,0,0,30826,0,4391,602,3672,0,0,60,127,0,81,0,0,0,209,0,771,39,24,1637,920,0,14194,470,5163,2524,0,0,94,92,0,31
"Seq 9",0,0,0,0,5403,0,0,0,40,0,0,171,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,46,0,0,590,43,0,0,0,0,0,0,0,0,0,81549,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
"Seq 10",0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,11,0,0,0,0,84266,0,11,0,0,0,0,0,0
"Seq 11",0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,68120,0,0,0,0,94,0,0,0
"Seq 12",451,0,0,0,35128,0,0,0,205,0,0,0,0,0,0,0,0,0,3538,0,0,0,0,337,539,0,0,747,1083,423,132,1193,4078,0,0,0,0,0,0,86,0,0,2723,0,0,5114,0,0,0,7763,2247,0,0,0,51,23,0,0,0,0,0,0,0,21,688,6,0,482,114,0,0
"Seq 13",0,0,0,0,3359,0,0,0,0,0,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,51097,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 14",0,0,0,0,3578,0,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,445,0,0,0,0,0,0,0,0,0,0,50307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seq 15",0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,51594,0,0,0,0,0,0,0,0
